rank,tier,score,rule,disc_n,disc_mean24,disc_win24,cal_n,cal_mean24,cal_win24,hold_n,hold_mean24,all2026_n,all2026_mean24
38,ACCEPTABLE,3.4808110568748423,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.006731912334715189, ""q"": 0.35, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}}",88,1.782209317070712,67.04545454545455,39,1.5307960385082378,58.97435897435898,71,-0.1076337744131115,35,1.8832331417256516
39,ACCEPTABLE,3.4808110568748423,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.0125428889400888, ""q"": 0.25, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}}",102,1.735357133769937,66.66666666666666,39,1.5307960385082378,58.97435897435898,77,0.1646979891230828,35,1.8832331417256516
40,STRICT,3.470135110554091,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_cmf_d1"", ""side"": ""GE"", ""threshold"": 0.03167702115818238, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}}",74,1.8055941302596832,68.91891891891892,32,1.4759034470314654,62.5,57,-0.03737805136195074,24,2.6706183695781136
41,ACCEPTABLE,3.4564685317967214,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_chop14_d1"", ""side"": ""GE"", ""threshold"": 1.8774567166058587, ""q"": 0.65, ""family"": ""chop"", ""timeframe"": ""btc1""}}",69,1.5418609120273807,65.21739130434783,30,2.2182967245869083,56.666666666666664,63,0.09050661415148042,32,1.9566843860385028
42,ACCEPTABLE,3.4456640875645914,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc1_tsi_d1"", ""side"": ""GE"", ""threshold"": -1.60800396382637, ""q"": 0.35, ""family"": ""tsi"", ""timeframe"": ""btc1""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}}",100,2.075594148758851,69.0,32,1.4839324240419653,56.25,70,0.3454981518444601,36,1.5027652718747697
43,STRICT,3.420266924349983,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_vwap_dist_d1"", ""side"": ""LE"", ""threshold"": -1.027151599234977, ""q"": 0.25, ""family"": ""vwap"", ""timeframe"": ""btc1""}}",70,1.7486822466942462,65.71428571428571,34,1.373384468469371,61.76470588235294,58,0.11347383012554466,17,0.6328643592791431
44,ACCEPTABLE,3.4107651121307008,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}}",74,1.5122573657510407,63.51351351351351,35,1.4681052313846426,57.14285714285714,65,0.1929257398214132,27,2.3105677708894237
45,ACCEPTABLE,3.3974539897596228,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_tsi_d1"", ""side"": ""GE"", ""threshold"": -1.60800396382637, ""q"": 0.35, ""family"": ""tsi"", ""timeframe"": ""btc1""}}",95,1.9071377125299178,67.36842105263158,27,1.489632155415815,55.55555555555556,63,0.2747810775457087,27,1.3295011918686557
46,ACCEPTABLE,3.3843301571049413,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}, ""b"": {""type"": ""single"", ""feature"": ""btc1_chop14_d1"", ""side"": ""GE"", ""threshold"": 1.8774567166058587, ""q"": 0.65, ""family"": ""chop"", ""timeframe"": ""btc1""}}",75,1.9155522228029243,68.0,34,1.3642712306360942,55.88235294117647,69,0.08721388956388987,22,1.2615302271509132
47,ACCEPTABLE,3.372576993299124,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""h1_adx_d3"", ""side"": ""GE"", ""threshold"": 0.768328085877299, ""q"": 0.65, ""family"": ""adx"", ""timeframe"": ""h1""}}",72,1.3095953297764986,62.5,32,1.7562221889356127,59.375,63,-0.3940241836382045,31,2.0833276376783716
