lookback_h,outcome_h,point,winner,loser,scale
12,72,8,4.209882030880712,0.8498788184285538,2.7608446311444075
12,72,9,5.471925891093213,0.7939219502420808,2.6075594819303762
12,72,10,4.6799181489138855,1.2423554493800997,2.45256400932493
12,72,11,4.327598348182187,0.11363934745314641,2.7360517749136863
12,72,12,3.5006591999315253,0.5271650941691335,2.779289354261913
12,168,0,0.0,0.0,1.0
12,168,1,0.6812678417506831,0.8140190345191739,1.0182202557756945
12,168,2,-0.12523483164658375,0.37508102839379,1.4252922783991138
12,168,3,3.0132845600879414,1.5561639316109845,1.7971922856202756
12,168,4,4.092026978936273,1.2559330871419134,1.9503172381575093
12,168,5,3.0144848732605953,1.227194915625308,1.9448633623174616
12,168,6,3.2359212580116496,1.3217708738149996,2.2270469258444403
12,168,7,3.574710428127575,1.3091772083620912,2.4667807393733665
12,168,8,4.177482927552713,1.971177439812787,2.7608446311444075
12,168,9,4.797082778602952,1.6142390842412957,2.6075594819303762
12,168,10,4.656334600732424,1.6051121584940526,2.45256400932493
12,168,11,4.314531829771074,1.6967849455509638,2.7360517749136863
12,168,12,3.4948701045251163,1.9684491056722937,2.779289354261913
24,12,0,0.0,0.0,1.0
24,12,1,-5.202671856401368,-0.07366482837724037,1.6820964188505019
24,12,2,-4.991842244369135,-0.6638035147652014,2.163571828286708
24,12,3,3.617688241188975,-0.17241383581398043,3.1192128062455065
24,12,4,4.68106113939016,-1.4750809758148364,4.159307927083119
24,12,5,2.474114561055486,-1.8692133012152632,4.576340771413909
24,12,6,3.2975911200903054,-2.9722467658115237,4.931604527731107
24,12,7,3.0413478362602104,-5.67025214226613,4.853407503284222
24,12,8,7.72892991102535,-4.0875828871967945,5.407851341353269
24,12,9,7.3272022205500065,-2.308967747799503,5.968587910328393
24,12,10,8.196819331303383,-0.12928250023051935,5.751299915959026
24,12,11,8.575002562594536,-2.060121072114167,5.588694410811647
24,12,12,6.866083439915181,-3.319120488443227,5.860157112185858
24,24,0,0.0,0.0,1.0
24,24,1,-5.202671856401368,1.1752790410321494,1.6820964188505019
24,24,2,-4.991842244369135,-0.6480904084083228,2.163571828286708
24,24,3,3.4416644376732295,0.02168962160112133,3.1192128062455065
24,24,4,4.518981218004195,0.5084665036051663,4.159307927083119
24,24,5,2.474114561055486,-0.5937446079477566,4.576340771413909
24,24,6,3.2975911200903054,0.2274278897040438,4.931604527731107
24,24,7,3.0413478362602104,-1.7837098175691062,4.853407503284222
24,24,8,7.72892991102535,-2.723454731027368,5.407851341353269
24,24,9,7.3272022205500065,-1.8846800091573241,5.968587910328393
24,24,10,8.196819331303383,-0.12928250023051935,5.751299915959026
24,24,11,8.575002562594536,-0.9954637494655263,5.588694410811647
24,24,12,6.866083439915181,-0.43159324655688125,5.860157112185858
24,48,0,0.0,0.0,1.0
24,48,1,-5.092009042725687,-0.10147366430387986,1.6820964188505019
24,48,2,-4.891675446012582,-1.1032817550390772,2.163571828286708
24,48,3,3.381336436577811,3.3452184015478172,3.1192128062455065
24,48,4,4.4258850171755775,2.6938848315473893,4.159307927083119
24,48,5,2.569734549528443,-1.23147895458151,4.576340771413909
24,48,6,3.238858132923778,-1.37240943805374,4.931604527731107
24,48,7,2.8196501894627723,-3.1778278925226777,4.853407503284222
24,48,8,7.634584579221021,-3.405518809112081,5.407851341353269
24,48,9,7.21944918812145,-2.0968238784784137,5.968587910328393
