name,lookback_h,prototype_outcome_h,q,threshold,viable,viable_horizons,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB48_PROTO48_Q800,48,48,0.8,-0.2856514592287216,True,72,115,48.69565217391305,0.0328645875307903,2.0228996601754563,4.885125304527266,92,38.04347826086957,-0.6443156186984761,4.0345258385941225,-4.105437093463622
LB48_PROTO48_Q850,48,48,0.85,0.05760344946281196,True,72,86,47.674418604651166,-0.011177819589574521,1.4710504083200828,5.244852072000308,70,32.857142857142854,-0.9620833767452236,4.4806596521307736,-4.844140298734387
LB48_PROTO48_Q875,48,48,0.875,0.19851393882006735,True,72,72,45.83333333333333,-0.044470307639844595,1.4674481723278585,5.876983753619141,64,32.8125,-0.9549895743756366,4.689490635706139,-4.690953664685225
LB48_PROTO48_Q900,48,48,0.9,0.6091491820180441,True,72,58,43.103448275862064,-0.3038799276917097,1.792783018193541,7.372958854743878,37,27.027027027027028,-1.2528132039258952,4.523754876325339,-7.053632257256996
LB48_PROTO48_Q925,48,48,0.925,1.0299119413821491,False,,43,30.23255813953488,-1.2555766850062124,1.0547721855468153,9.05751415984469,14,14.285714285714285,-2.0863089584957497,2.601568290702121,-16.00839245865421
LB48_PROTO72_Q700,48,72,0.7,-1.1804653718733908,True,72,172,50.0,0.28463384010342574,2.695807892773966,6.1755120579785725,124,35.483870967741936,-0.8167838234401253,2.1167337829868393,-4.861832378272563
LB48_PROTO72_Q750,48,72,0.75,-1.0480166216373952,True,72,143,50.349650349650354,0.2548964630459365,2.265464535135946,6.226227886092288,107,37.38317757009346,-0.2989975078610977,3.3651121451683568,-4.285693913532068
LB48_PROTO72_Q800,48,72,0.8,-0.8847784814137086,True,72,115,49.56521739130435,0.08767807809815822,1.6653470266498394,4.3257861549837155,92,36.95652173913043,-0.6741113630861907,3.7488503089821874,-4.339325620703049
LB48_PROTO72_Q850,48,72,0.85,-0.5917177124210956,True,72,86,47.674418604651166,0.04618727169174957,1.803187733146638,5.80456337481664,68,33.82352941176471,-0.9251407683123004,4.412043648778815,-4.7701780687180095
LB48_PROTO72_Q875,48,72,0.875,-0.4546473336311446,True,72,72,45.83333333333333,-0.030741844590250113,1.559833017543899,5.685993469268044,63,33.33333333333333,-0.9553679496243636,4.468555715742311,-4.4682349448845065
LB48_PROTO72_Q900,48,72,0.9,-0.08144076362597691,True,72,58,41.37931034482759,-0.40464768641623666,1.1856404160655631,6.461037042606324,38,23.684210526315788,-1.5798086137258385,5.021051532918576,-6.960415079280589
LB48_PROTO72_Q925,48,72,0.925,0.42094851410367995,False,,43,30.23255813953488,-1.2830529777472495,1.264564681823525,9.255271417843504,12,16.666666666666664,-2.424231746092319,2.8226293741657855,-16.1170495658986
LB48_PROTO168_Q700,48,168,0.7,-1.0290191457964966,True,72,172,48.837209302325576,0.200252617553252,2.6997225777180907,5.899566974419975,112,36.607142857142854,-0.7838573330717159,2.6703747946041294,-4.111179481525339
LB48_PROTO168_Q750,48,168,0.75,-0.9607938438343488,True,72,143,48.95104895104895,0.1146169788783801,2.4982806235061403,4.497790896964239,101,36.633663366336634,-0.7937603405185613,3.2519870209598,-4.337086004554221
LB48_PROTO168_Q800,48,168,0.8,-0.804462005911821,True,72,115,47.82608695652174,-0.223360854157727,1.929237513573353,4.651778316156529,81,35.80246913580247,-0.8597536303627703,4.28002747518988,-4.554265212350183
LB48_PROTO168_Q850,48,168,0.85,-0.595487463080988,True,72,86,47.674418604651166,-0.13348079615336714,1.1969327972272337,4.988209323273097,66,31.818181818181817,-1.1022781012551826,4.755410092129968,-4.484596365831507
LB48_PROTO168_Q875,48,168,0.875,-0.4899527464682274,True,72,72,47.22222222222222,-0.007951265658386966,1.5005601868004323,5.384805066554114,60,33.33333333333333,-1.0474411275549056,4.783771862079621,-4.56844476314026
LB48_PROTO168_Q900,48,168,0.9,-0.1196891290392966,True,72,58,41.37931034482759,-0.3473971667596164,1.2399511264267062,6.780589132744038,41,31.70731707317073,-1.2472361114309953,5.035839255928315,-5.864719121816979
LB48_PROTO168_Q925,48,168,0.925,0.36570198893147227,False,,43,32.55813953488372,-0.9503188448970937,1.2395642602969656,9.23177166137509,9,22.22222222222222,-1.7531383476905242,5.382444277886202,-17.238978119166845
