policy,type,train_score,DISCOVERY_n,DISCOVERY_mean,DISCOVERY_median,DISCOVERY_win,DISCOVERY_pf,DISCOVERY_q10,DISCOVERY_q25,CALIBRATION_n,CALIBRATION_mean,CALIBRATION_median,CALIBRATION_win,CALIBRATION_pf,CALIBRATION_q10,CALIBRATION_q25,CROSS_HOLDOUT_PRE2026_n,CROSS_HOLDOUT_PRE2026_mean,CROSS_HOLDOUT_PRE2026_median,CROSS_HOLDOUT_PRE2026_win,CROSS_HOLDOUT_PRE2026_pf,CROSS_HOLDOUT_PRE2026_q10,CROSS_HOLDOUT_PRE2026_q25,FINAL_HOLDOUT_2026_n,FINAL_HOLDOUT_2026_mean,FINAL_HOLDOUT_2026_median,FINAL_HOLDOUT_2026_win,FINAL_HOLDOUT_2026_pf,FINAL_HOLDOUT_2026_q10,FINAL_HOLDOUT_2026_q25
TP3_SL3_48H,tpsl,3.5,27,2.3072190834902693,2.8,92.5925925925926,10.733580508474573,2.2779661016949135,2.8,48,1.3,2.8,75.0,2.624999999999999,-3.2,1.2999999999999998,40,0.8093495934959349,2.8,65.0,1.8008205293218558,-3.2,-3.2,36,2.633333333333333,2.8,97.22222222222221,30.624999999999993,2.8,2.8
TP3_SL3_72H,tpsl,3.5,27,2.3555555555555547,2.8,92.5925925925926,10.937499999999996,2.8,2.8,48,1.3,2.8,75.0,2.624999999999999,-3.2,1.2999999999999998,40,0.6999999999999997,2.8,65.0,1.6249999999999991,-3.2,-3.2,36,2.633333333333333,2.8,97.22222222222221,30.624999999999993,2.8,2.8
TP7_SL2_24H,tpsl,3.4845988839237663,27,1.6882289809351334,2.758236658932711,55.55555555555556,2.7265978214109325,-2.2,-2.2,48,1.9429044404560571,2.7410351675100864,58.333333333333336,3.1195321168611523,-2.2,-2.2,40,1.2120107920332894,-2.2,47.5,2.0493599931024145,-2.2,-2.2,36,2.288252543548879,3.044267724019123,72.22222222222221,4.744413253079984,-2.2,-2.2
FIXED_12H,fixed,3.4214102831506743,27,1.4969761382619835,1.5310699128880947,88.88888888888889,11.747813574688932,-0.13798639032661852,0.4110841799371158,48,2.130179037900866,2.909104422318809,77.08333333333334,4.346243111070177,-2.726527590289547,0.7699032539643993,40,2.1594939044604353,2.0927788760661703,65.0,3.4589779916361656,-3.1318497109826597,-0.519520919577193,36,3.8825440686011286,2.7204980842911897,94.44444444444444,151.22771194108978,0.23164976478036187,0.9413674939474594
TP3_SL5_24H,tpsl,3.3125000000000004,27,2.2855936980959757,2.8,92.5925925925926,12.055721959845354,1.5779687052513804,2.8,48,1.0708333333333335,2.8,77.08333333333334,1.984674329501915,-5.2,2.8,40,1.1307206988603016,2.8,80.0,2.2407285268959547,-5.2,0.7824189036658993,36,2.7999999999999994,2.8,100.0,,2.8,2.8
TP7_SL3_72H,tpsl,3.25,27,2.5347142782931313,6.8,55.55555555555556,3.0390867235213497,-3.2,-3.2,48,1.8,1.7999999999999998,50.0,2.1249999999999996,-3.2,-3.2,40,0.7999999999999998,-3.2,40.0,1.4166666666666665,-3.2,-3.2,36,3.890722141236737,6.8,75.0,5.86340267654592,-3.2,-0.09040114613180683
TP3_SL5_48H,tpsl,3.208333333333334,27,2.159070935342121,2.8,92.5925925925926,6.60528031290743,2.2779661016949135,2.8,48,0.9666666666666668,2.8,77.08333333333334,1.8111888111888106,-5.2,2.8,40,1.0347778590205603,2.8,75.0,1.9714197811069836,-5.2,2.05,36,2.7999999999999994,2.8,100.0,,2.8,2.8
TP3_SL5_72H,tpsl,3.208333333333334,27,2.207407407407407,2.8,92.5925925925926,6.730769230769229,2.8,2.8,48,0.9666666666666668,2.8,77.08333333333334,1.8111888111888106,-5.2,2.8,40,0.8723085838370693,2.8,75.0,1.7105275579456376,-5.2,1.2791220556745178,36,2.7999999999999994,2.8,100.0,,2.8,2.8
TP3_SL2_24H,tpsl,2.9074074074074074,27,0.948148148148148,2.8,62.96296296296296,2.1636363636363636,-2.2,-2.2,48,1.4458333333333335,2.8,72.91666666666666,3.4265734265734262,-2.2,-2.2,40,0.6152439024390243,2.8,57.49999999999999,1.6580148689187417,-2.2,-2.2,36,1.9666666666666661,2.8,83.33333333333334,6.3636363636363615,-2.2,2.8
TP3_SL2_48H,tpsl,2.9074074074074074,27,0.948148148148148,2.8,62.96296296296296,2.1636363636363636,-2.2,-2.2,48,1.4458333333333335,2.8,72.91666666666666,3.4265734265734262,-2.2,-2.2,40,0.5593495934959349,2.8,55.00000000000001,1.570386337257502,-2.2,-2.2,36,1.9666666666666661,2.8,83.33333333333334,6.3636363636363615,-2.2,2.8
TP3_SL2_72H,tpsl,2.9074074074074074,27,0.948148148148148,2.8,62.96296296296296,2.1636363636363636,-2.2,-2.2,48,1.4458333333333335,2.8,72.91666666666666,3.4265734265734262,-2.2,-2.2,40,0.5499999999999998,2.8,55.00000000000001,1.5555555555555547,-2.2,-2.2,36,1.9666666666666661,2.8,83.33333333333334,6.3636363636363615,-2.2,2.8
FIXED_36H,fixed,1.892756307084922,27,0.754509592628529,0.40483870967742436,51.85185185185185,1.7555535406965503,-3.5819708675604,-1.2640012095218087,48,4.973826168827271,5.333455200286663,91.66666666666666,35.179848108888585,0.5836033549589483,2.991376048531469,40,3.226936373564564,4.560939459880142,70.0,3.847277778641289,-3.7331203206634678,-0.5637061047335188,36,6.014829888457482,3.990575264043672,91.66666666666666,62.85819476750173,0.4098566593765176,2.1600703905540475
TP7_SL2_48H,tpsl,0.6880358506748433,27,0.5713691840081767,-2.2,33.33333333333333,1.389569898187393,-2.2,-2.2,48,1.55,-2.2,41.66666666666667,2.2077922077922074,-2.2,-2.2,40,0.8937041748129906,-2.2,37.5,1.6544165113975164,-2.2,-2.2,36,1.8792974755810161,-0.972933696639421,50.0,2.708452250528196,-2.2,-2.2
TP7_SL2_72H,tpsl,0.5768883732920852,27,0.5342957806994927,-2.2,29.629629629629626,1.3608841010401185,-2.2,-2.2,48,1.55,-2.2,41.66666666666667,2.2077922077922074,-2.2,-2.2,40,0.4999999999999999,-2.2,30.0,1.3246753246753242,-2.2,-2.2,36,1.887392550143266,-2.2,47.22222222222222,2.625505545577932,-2.2,-2.2
