event_id,symbol,decision_time,hash_mod,champion_return,baseline_return,delta,state,year
121,DOGEUSDT,2026-02-02 04:00:00+00:00,0,4.942017629774731,4.942017629774731,0.0,DIP,2026
122,DOTUSDT,2026-02-02 04:00:00+00:00,39,3.6435603506405956,3.6435603506405956,0.0,DIP,2026
123,DYDXUSDT,2026-02-02 04:00:00+00:00,1,2.8864197530864333,2.8864197530864333,0.0,DIP,2026
124,EIGENUSDT,2026-02-02 04:00:00+00:00,81,1.4064257028112428,1.4064257028112428,0.0,DIP,2026
125,ENAUSDT,2026-02-02 04:00:00+00:00,60,3.591821561338282,3.591821561338282,0.0,DIP,2026
126,FILUSDT,2026-02-02 04:00:00+00:00,78,5.247470817120625,5.247470817120625,0.0,DIP,2026
127,FLOKIUSDT,2026-02-02 04:00:00+00:00,1,5.947418680990735,5.947418680990735,0.0,DIP,2026
128,GALAUSDT,2026-02-02 04:00:00+00:00,47,3.2408602150537646,3.2408602150537646,0.0,DIP,2026
129,GMTUSDT,2026-02-02 04:00:00+00:00,67,3.9728763040238535,3.9728763040238535,0.0,DIP,2026
130,IOTXUSDT,2026-02-02 04:00:00+00:00,29,4.752076677316297,4.752076677316297,0.0,DIP,2026
131,LINKUSDT,2026-02-02 04:00:00+00:00,44,5.982212581344881,5.982212581344881,0.0,DIP,2026
132,MUBARAKUSDT,2026-02-02 04:00:00+00:00,27,4.646938775510212,4.646938775510212,0.0,DIP,2026
133,OPUSDT,2026-02-02 04:00:00+00:00,31,1.6141592920353889,1.6141592920353889,0.0,DIP,2026
134,ORDIUSDT,2026-02-02 04:00:00+00:00,13,1.7350606756313616,1.7350606756313616,0.0,DIP,2026
135,PENDLEUSDT,2026-02-02 04:00:00+00:00,53,0.840312093628093,0.840312093628093,0.0,DIP,2026
136,PENGUUSDT,2026-02-02 04:00:00+00:00,39,4.509851551956823,4.509851551956823,0.0,DIP,2026
137,RUNEUSDT,2026-02-02 04:00:00+00:00,22,3.3320088300220707,3.3320088300220707,0.0,DIP,2026
138,STRKUSDT,2026-02-02 04:00:00+00:00,17,5.15055350553506,5.15055350553506,0.0,DIP,2026
139,STXUSDT,2026-02-02 04:00:00+00:00,12,20.116205533596833,20.116205533596833,0.0,DIP,2026
140,SUIUSDT,2026-02-02 04:00:00+00:00,33,4.768830216354969,4.768830216354969,0.0,DIP,2026
141,TAOUSDT,2026-02-02 04:00:00+00:00,56,5.563073639274263,5.563073639274263,0.0,DIP,2026
142,THETAUSDT,2026-02-02 04:00:00+00:00,26,4.539336492891,4.539336492891,0.0,DIP,2026
143,ZENUSDT,2026-02-02 04:00:00+00:00,14,-0.6022988505747116,-0.6022988505747116,0.0,DIP,2026
144,ZILUSDT,2026-02-02 04:00:00+00:00,17,67.2185463659148,67.2185463659148,0.0,DIP,2026
145,ANIMEUSDT,2026-02-02 04:30:00+00:00,96,2.6960817717206043,2.6960817717206043,0.0,DIP,2026
146,STRAXUSDT,2026-02-03 10:00:00+00:00,80,-2.946268656716433,-2.946268656716433,0.0,DIP,2026
147,INJUSDT,2026-06-05 03:30:00+00:00,52,-4.407547169811321,-4.407547169811321,0.0,DIP,2026
148,WALUSDT,2026-06-05 03:30:00+00:00,46,-4.721276595744683,-4.721276595744683,0.0,DIP,2026
149,0GUSDT,2026-06-06 11:00:00+00:00,88,4.919453924914685,4.919453924914685,0.0,NO_DIP_CASH,2026
150,1INCHUSDT,2026-06-06 11:00:00+00:00,9,3.0496307237813935,3.0496307237813935,0.0,NO_DIP_CASH,2026
151,1MBABYDOGEUSDT,2026-06-06 11:00:00+00:00,15,5.07803958529689,5.07803958529689,0.0,NO_DIP_CASH,2026
152,2ZUSDT,2026-06-06 11:00:00+00:00,50,1.1706620005832449,1.1706620005832449,0.0,NO_DIP_CASH,2026
