type,family,name,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net12_imp,cal_net12_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score,stable_train_cal
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_1h LE DQ60(-0.19034576),55,65,0.37935727696575006,1.7650485015779638,0.22555896039891676,0.16456510212206024,5.806451612903217,3.2107023411371287,5.161290322580641,3.2107023411371216,0.5974901797653275,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_4h LE DQ50(-1.578354),63,70,0.7010252851985705,1.3089580735989679,0.4256401328202988,-0.10115478957855387,-1.8125960061443962,9.254658385093173,-0.8704557091653911,9.254658385093165,0.593834114478437,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_4h LE DQ50(-1.578354),73,76,0.5168345072848117,1.001802326992669,0.30655841047079524,0.024118336797446988,0.6009721608484213,7.036613272311207,1.3256738842244786,7.0366132723112145,0.5698185676738603,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_12h LE DQ60(-1.6097588),67,75,0.5494804288729016,1.194589885906824,0.3629895131670564,-0.13867428915963903,1.030332209918143,9.15942028985507,1.8777082330284074,9.159420289855078,0.5694085586251404,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_2h LE DQ40(-1.3146106),36,51,0.4201367832622145,1.3177100390131709,0.25993875548030965,0.007824327909572826,4.139784946236553,2.7280477408354713,3.494623655913969,2.728047740835464,0.5592776850723384,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_48h LE DQ40(-4.8205039),57,56,0.2540050367388962,1.3024988679318703,0.11798581568254018,1.259998362107183,5.455574419920758,17.46894409937888,4.810413129598189,17.468944099378888,0.5551755674173717,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_24h LE DQ60(-2.3674833),75,65,0.4189735063192601,1.0318169019931465,0.23029446851329594,0.8169590438615539,0.4731182795698814,17.05685618729097,1.1612903225806406,17.056856187290972,0.5369959251376228,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_2h LE DQ40(-1.3146106),51,60,0.5442408069319788,1.2922767997505105,0.33285057536105267,-0.4262421161973465,2.6691967109424297,6.159420289855078,2.024035420619853,6.1594202898550705,0.5156126760035775,False
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_1h LE DQ60(-0.19034576),69,57,0.25492321979972,1.4541821197223772,0.23448045857811817,1.0740961523766352,3.777466105656842,14.492753623188399,3.1323048153342654,14.492753623188413,0.5129614597784519,True
pair,BB+PULLBACK,m15_bb_width GE DQ50(0.027786062) & causal_dd_high_24h LE DQ60(-2.3674833),61,72,0.4446100276041718,1.7792945008803533,-0.024921392228993255,0.36116511970737497,-0.09518773135907566,11.714975845410628,0.8989952406134307,11.714975845410635,0.45101181319552053,True
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_4h LE DQ50(-1.578354),62,55,0.42012454880210504,1.1868029041377435,0.38163326302370115,0.8610338750777429,-2.5806451612903345,24.189723320158116,-1.6129032258064555,24.189723320158105,0.4440187715055613,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_2h LE DQ40(-1.3146106),57,65,0.33275848017285536,1.15322735090888,0.28198195668588366,-0.24626389299933427,3.7011884550084844,4.749163879598662,3.056027164685908,4.749163879598662,0.4187223145670611,False
pair,BB+PULLBACK,h1_bb_width GE DQ35(0.049590362) & causal_dd_high_48h LE DQ60(-3.1058166),73,61,0.2736031852080383,1.3080047173348577,0.139027100256357,1.0626055461363024,0.6009721608484213,15.039201710620098,1.3256738842244786,15.039201710620105,0.36680531280770545,True
pair,BB+PULLBACK,m15_bb_width GE DQ35(0.022095776) & causal_dd_high_1h LE DQ60(-0.19034576),71,73,0.32505750883988815,1.197930073837278,0.08143733922363294,0.22977193944462984,6.369831894593354,-0.11911852293031444,5.724670604270784,-0.11911852293030734,0.3476046514216441,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_4h LE DQ60(-1.3174799),65,75,0.7725218944855605,0.27059911386605273,0.7124120220763124,0.033808548614203404,1.191066997518604,2.492753623188406,0.5459057071960203,2.4927536231884133,0.32908222995050246,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_12h LE DQ60(-1.6097588),64,77,0.5777420637673285,0.3139582651397953,0.5073321608474062,-0.01988905072243835,0.4939516129032171,3.6702428006775847,-0.15120967741935942,3.6702428006775847,0.3187914522256512,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_48h LE DQ40(-4.8205039),48,65,0.19069156851336277,1.3944392500075944,0.04199822579014212,0.7599782103290167,2.056451612903217,9.364548494983282,1.4112903225806406,9.364548494983275,0.2953103023786218,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_8h LE DQ60(-1.462766),66,77,0.7447470308361144,0.20186434553515087,0.7060927814736453,0.010607778985398664,1.8670576735092723,3.6702428006775847,1.221896383186703,3.6702428006775847,0.2860267260490526,True
pair,BB+PULLBACK,h4_bb_width GE DQ50(0.15432778) & causal_dd_high_1h LE DQ60(-0.19034576),57,72,0.2952409524874162,0.5804577522120752,0.35230531710122204,0.19986618363885897,1.9468024900961964,-2.173913043478258,1.301641199773627,-2.173913043478258,0.256498464587104,True
pair,BB+PULLBACK,h4_bb_width GE DQ65(0.19233492) & causal_dd_high_1h LE DQ60(-0.19034576),42,61,0.2876382039142218,0.996466406502366,0.2658094898575447,0.19780051518779698,2.949308755760356,-2.9935851746257995,2.3041474654377865,-2.9935851746257995,0.20718912549866073,True
