policy,mode,stable_dev,score,disc_n,cal_n,disc_net24,cal_net24,disc_net48,cal_net48,disc_pf24,cal_pf24
DIP1_TURN4,DIP_RECLAIM,False,-0.8366942615905059,2011,1697,0.13571641684060495,-0.412695385992464,0.5812218671011978,-0.40483667873201806,1.0772165378255025,0.8083780313397627
DIP2_RECLAIM_M3,DIP_RECLAIM,False,-0.8551425708380371,1596,1417,0.3256610942700046,-0.30041651505610883,0.7788462259556276,-0.5409889909288986,1.1807084104239567,0.8626293514697022
IMP1.5_GB0.7_HLHH_M3,IMPULSE_GIVEBACK,False,-0.8554796060992399,1375,1084,0.4298342192020784,-0.35746621290235636,0.7502189543652287,-0.48132042361777605,1.2388326063034014,0.8330703042089254
IMP1_GB0.7_TURN4,IMPULSE_GIVEBACK,False,-0.8567235285607584,1668,1324,0.26098338648442604,-0.3919250982667058,0.8377430362193744,-0.44629034638567733,1.1452666664068167,0.8149191609162467
IMP1_GB0.7_HLHH_M3,IMPULSE_GIVEBACK,False,-0.866511709069545,1634,1307,0.1596134780024305,-0.389201290093283,0.6176746705268754,-0.4589806958012454,1.0863724406679907,0.8167027682498347
DIP1_STOCH_MULTI,DIP_RECLAIM,False,-0.8690706794340812,2009,1697,0.17624683307266586,-0.42676925343586153,0.6220299229877316,-0.4225956642604898,1.1006861009756286,0.8029423826227011
IMP1.5_GB1_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.8694224650611921,1033,831,0.765053961850158,-0.29607891730152824,1.2711796088211824,-0.5598565268105326,1.4508642371298932,0.8651297905086869
DIP1_STRUCT_M4,DIP_RECLAIM,False,-0.8900919183244641,2009,1695,0.12878536344674416,-0.4389649253855797,0.5805838899155068,-0.43108414930365274,1.07306504970842,0.7995715636476828
IMP0.5_GB0.7_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.8980818823431649,1972,1608,0.13812999694973613,-0.40207560819288846,0.5840697262033208,-0.47674381441328656,1.0766202819634039,0.807375402630101
IMP0.5_GB0.7_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.9082370402948856,1988,1621,0.1510386798196125,-0.4158048314668315,0.5004524368861563,-0.4725984526995807,1.0846589740867005,0.8016624387152664
DIP1_RECLAIM_M3,DIP_RECLAIM,False,-0.9109927986656341,2003,1695,0.12492912034887045,-0.45145438107004165,0.5464917838749755,-0.4390009835107442,1.0715257004318792,0.7946256591515172
IMP0.5_GB0.7_TURN4,IMPULSE_GIVEBACK,False,-0.9143819831870349,1985,1611,0.17097561492133445,-0.41941193663673865,0.6123695840456241,-0.4750445553759384,1.0972086684313307,0.8007450882564222
IMP1_GB0.7_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.9197173731023353,1611,1289,0.25957758466984376,-0.4067357696497452,0.7517718900345147,-0.4940277863840663,1.142808039636455,0.8104618293147624
IMP1.5_GB0.7_TURN4,IMPULSE_GIVEBACK,False,-0.9221433883177671,1405,1106,0.48279548077017914,-0.41149566192977227,0.9842415610533432,-0.4918620656451765,1.2750751704147212,0.8121433925718163
IMP2_GB1_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.9235780110033716,854,686,0.8211675880457494,-0.22000615255493033,1.5154679724349536,-0.693518607764993,1.4875748859470557,0.8994674931655167
IMP1_GB0.7_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.9276931489602592,1674,1336,0.23218970985123674,-0.42190174358703153,0.6763311058614224,-0.4860434202059434,1.1287554776288975,0.8025201483271573
IMP1_GB0.7_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.9289381300383505,1651,1315,0.20768993065891153,-0.4291145743846163,0.7306435329456308,-0.4796532415037965,1.1132167594621012,0.7982968585006237
IMP0.5_GB0.3_STRUCT_M4,IMPULSE_GIVEBACK,False,-0.9344436173909766,2168,1749,-0.07855779573647118,-0.49830005373557384,0.36077197622664176,-0.413304739106921,0.9576403529631358,0.7716117545151826
DIP1.5_STOCH_MULTI,DIP_RECLAIM,False,-0.9348580947898832,1812,1547,0.2622501007821857,-0.3280148763662267,0.6844578950723867,-0.5913242955685711,1.1471481222724031,0.8448107714491466
IMP2_GB1_TURN4,IMPULSE_GIVEBACK,False,-0.9502686326781559,868,696,0.8174890634111468,-0.2326655669215931,1.5615806790583262,-0.7068555719067039,1.4844805091873015,0.8925250615014113
IMP1.5_GB0.7_STOCH_MULTI,IMPULSE_GIVEBACK,False,-0.9526555790474288,1414,1112,0.48450826408993164,-0.4226778917277931,0.7833904892706962,-0.5109063451558955,1.2810239747701933,0.8092865783625987
IMP0.5_GB0.3_TURN4,IMPULSE_GIVEBACK,False,-0.9554734334133956,2173,1753,-0.06488700909633895,-0.5058473013284833,0.4087145523978248,-0.4264822181320303,0.9646811694430573,0.768560860471181
IMP0.5_GB0.3_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.957554671336766,2164,1746,-0.014970679670527313,-0.5168429747675551,0.42345305440045417,-0.4167112300624675,0.9918057510460477,0.759995334932567
IMP1.5_GB0.7_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.9818018431866204,1349,1061,0.49060867278133147,-0.4330524793968354,0.8933106069598394,-0.5291202440971211,1.2733863937070604,0.803708803073361
DIP1.5_HLHH_M3,DIP_RECLAIM,False,-0.9863979186278395,1805,1542,0.15643775621053768,-0.3800147551112951,0.5806583485997289,-0.5886123657828647,1.0866180216582193,0.822292022663203
IMP0.5_GB0.5_RECLAIM_M3,IMPULSE_GIVEBACK,False,-0.9907461004653059,2092,1691,0.18004737296882625,-0.48341442793395667,0.46737690814768745,-0.4848520890183245,1.1020158639257895,0.7752041648697526
WAIT4H_HLHH_M3,DELAYED_CONFIRM,False,-0.9928929737557877,2364,1908,0.06094818159442366,-0.472381214115834,0.545166060727266,-0.49920793408821307,1.0348072498298286,0.7869617444825944
IMP0.5_GB0.3_HLHH_M3,IMPULSE_GIVEBACK,False,-0.9948410725905628,2171,1744,-0.09710269858667808,-0.514759850309052,0.39577013617960843,-0.4562508878670059,0.9475984052838046,0.7616966558549527
IMP1.5_GB0.7_STRUCT_M4,IMPULSE_GIVEBACK,False,-1.0041016154970988,1385,1093,0.44752611399729714,-0.4611086377571533,0.8667235717756411,-0.522074695564753,1.2507886046750338,0.7908171782480747
IMP0.5_GB0.5_TURN4,IMPULSE_GIVEBACK,False,-1.009682743162763,2118,1709,0.10063277778451957,-0.5112272477517572,0.4447460892520757,-0.47517275721269664,1.057131793086117,0.7671726180169084
WAIT2H_STOCH_MULTI,DELAYED_CONFIRM,False,-1.019002165903882,2364,1908,0.0898180007620616,-0.5450022566064041,0.5741495107718553,-0.44929523038129016,1.0521651414437094,0.7529532108381227
DIP1.5_TURN4,DIP_RECLAIM,False,-1.0280649029393745,1813,1545,0.23711041038610875,-0.3738208257641424,0.6228925813798246,-0.6366903112110457,1.1325299433435434,0.8244623403581357
IMP0.5_GB0.3_STOCH_MULTI,IMPULSE_GIVEBACK,False,-1.034729416073846,2172,1747,-0.00034892046565493444,-0.5310836750801244,0.4137108288428116,-0.4791669979802977,0.9998075046107217,0.7552125698657616
