feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
btc1_stoch_k,46.60636167969099,51.777108595326126,43.96020882747479,52.872967279916196,-0.16552543982555548,75762,21308
m15_mfi,44.63124250957468,48.034955379984865,43.43810688063059,47.96381400147271,-0.16551875577923414,75714,21305
m15_stoch_spread,-1.7537070772205285,0.08778091475172256,-1.1132381524984254,0.0,-0.16534170019063013,75724,21306
btc1_cmf_d3,-0.012646642285111354,0.0015288984810915114,-0.0106286134097586,0.0009899791412484,-0.1637876475161112,75701,21305
btc1_ppo_hist_d3,-0.015930341080019384,0.0018817837848550088,-0.0096723930395418,0.00096199880917,-0.1633304212128273,75762,21308
m15_motion_net,-0.6811726195190201,-0.012577435704899569,-1.0,0.0,-0.16102163353205542,75762,21308
m15_atr_pct_d3,0.023563481375138366,-0.0020448041322757736,-0.0020128054788451,-0.005812796223548701,0.16061999506284208,75737,21308
m15_stoch_k_d3,-4.419067771442208,0.28568828179529926,-3.254551094405574,0.0,-0.16027819322578665,75722,21306
btc1_roc4,-0.16527385534547206,0.012910715716567319,-0.1045798342811821,0.011710485568761,-0.1599066594434631,75762,21308
h1_atr_pct_acc,0.024402726650352514,-0.0002959908252493377,0.009174117668094,2.529300755477193e-05,0.1588456997483447,75718,21308
btc1_roc4_d3,-0.19502371049350162,0.011242462358872994,-0.1269348961707994,0.01322313339386365,-0.15862859401515497,75762,21308
h1_donch_pos,0.4308980605447808,0.4761580319371159,0.3982300884955755,0.4642857142857163,-0.15859294129813437,75714,21308
h4_motion_pos,2.0666305811528,2.415336962643139,1.0,2.0,-0.15816665833628765,75746,21308
btc1_kdj_spread_d3,-1.4219684437370792,0.08610841183219718,-1.155867452045868,0.1307439450597627,-0.15766177922564023,75762,21308
h4_stoch_k_d1,-1.0164212571082134,0.9143190878910233,-0.10987470337256065,0.4437943866094542,-0.15743656806849915,75506,21308
h4_stoch_k,48.8232194129573,43.840552795117425,48.40343725696942,40.548131034625314,0.15614831468960355,75511,21308
