feature,disc_effect,cal_effect,cross_effect,final_effect,min_abs_effect
m15_rvol20,0.1551268263275107,0.14921480717387337,0.13681491753035005,0.15251214868585486,0.13681491753035005
h4_motion_pos,-0.15816665833628765,-0.19316972256490914,-0.13616963179674815,-0.18041927514837103,0.13616963179674815
h4_kdj_j_d3,-0.1365823131949934,-0.1960660320171805,-0.13495245605454392,-0.15250686405705274,0.13495245605454392
h1_structure,-0.13398396556108322,-0.21128406189130458,-0.16901428139165423,-0.1942512869702331,0.13398396556108322
btc1_close_loc,-0.13291404994495506,-0.20178934721021516,-0.17495369596314614,-0.1880127940182475,0.13291404994495506
m15_motion_neg,0.13238993962671788,0.22776537427800214,0.17859580052581575,0.16818615501074013,0.13238993962671788
m15_er10_d3,0.15216741712780663,0.16722447029722312,0.1652547547982793,0.13230217501407135,0.13230217501407135
h1_vwap_dist_acc,-0.14746514095306723,-0.1311026857112717,-0.1335703270842419,-0.14569751041891832,0.1311026857112717
btc1_kdj_j,-0.13090237448227632,-0.17152196284894786,-0.1494004001276435,-0.2106415870408916,0.13090237448227632
btc1_mfi_d3,-0.15210402830916786,-0.13071564531065202,-0.15487292443641568,-0.19335427871684752,0.13071564531065202
pre_ret_12h,-0.12970033002048634,-0.2091926124731687,-0.15935600138459122,-0.14649366470184466,0.12970033002048634
h1_adx_acc,0.12946212444207672,0.13818479924353433,0.1522430572027285,0.1409056438139068,0.12946212444207672
h4_tsi_acc,-0.12885387007713728,-0.1441153201574938,-0.14870671356997023,-0.1574496316974972,0.12885387007713728
h4_donch_pos,0.3343800411923769,0.1286765823701661,0.28216729978521793,0.31404498688879323,0.1286765823701661
h4_stoch_spread_d1,-0.1293662245552196,-0.12784236664178805,-0.15213850891658212,-0.1513745411957866,0.12784236664178805
h1_di_spread_acc,-0.14017764763567794,-0.12711574343733997,-0.13146803284642886,-0.1327616590385611,0.12711574343733997
h4_roc4_d1,-0.12666866712062333,-0.1643220070784216,-0.1551020787315596,-0.15095211369487918,0.12666866712062333
h1_chop14_d1,-0.16666159722427532,-0.1263794192894788,-0.1627172473076366,-0.17323227898360052,0.1263794192894788
btc4_atr_pct_d3,0.18536631658678618,0.22923555117669278,0.17849906869478044,0.12604996344039865,0.12604996344039865
btc1_ppo_hist,-0.1373073516765258,-0.15076207416695941,-0.12523960133519194,-0.17454293550279637,0.12523960133519194
btc1_wpr,-0.12495071107557977,-0.21008971590628672,-0.13203007772769276,-0.19648904961586158,0.12495071107557977
h1_er10_d1,0.12420902291370818,0.12886179754350244,0.13354163033154573,0.14734133058753007,0.12420902291370818
btc4_tsi_d3,0.12379962734142587,0.15002272835885078,0.16435913178983458,0.20814716547074236,0.12379962734142587
btc1_macd_hist,-0.12372853852263252,-0.15941916647067483,-0.13754286079235525,-0.17874788299393107,0.12372853852263252
btc1_structure,-0.12281703305416566,-0.15729948847351935,-0.1238687449310009,-0.17392369669380453,0.12281703305416566
h1_stoch_spread_d3,-0.13744413504988426,-0.12251440084971217,-0.13610614392563533,-0.13352056999527556,0.12251440084971217
btc1_turn4,-0.1335189242691968,-0.12242507083536362,-0.13951545189933254,-0.1342398380553214,0.12242507083536362
btc1_cmf_d3,-0.1637876475161112,-0.1222612743669275,-0.15742158437856196,-0.20608796541830315,0.1222612743669275
btc1_higher_high,-0.13328174240933852,-0.14488877979777476,-0.12133684861803119,-0.18681468315782315,0.12133684861803119
btc4_kdj_j_d3,-0.14340266835301455,-0.1646393731935595,-0.12103208596388249,-0.14327047445592198,0.12103208596388249
h1_er10_d3,0.1286666087838121,0.12052988568220067,0.13750841292706828,0.15964211692646874,0.12052988568220067
h1_rvol20_d3,0.17130475314663945,0.12015296663401911,0.14395010562594543,0.13522443657125438,0.12015296663401911
btc1_kdj_spread_d3,-0.15766177922564023,-0.12744836987128294,-0.14461146604784128,-0.1189813309005579,0.1189813309005579
btc1_bb_width_d3,0.12020750845120455,0.12322765537340723,0.1171182047497453,0.12297639426932332,0.1171182047497453
btc1_stoch_k_d3,-0.13687937463467917,-0.11662517835423944,-0.15852213551746366,-0.1334819628228153,0.11662517835423944
h4_stoch_spread_d3,-0.1168265929903359,-0.14658933114358913,-0.11658572292117858,-0.12955403992378256,0.11658572292117858
btc1_obv,0.11565404602710078,0.12399644471818663,0.2747023118989679,0.2615433909194,0.11565404602710078
h4_kdj_k,0.22472651108272643,0.1155008369876886,0.22789102908759504,0.2406915974862057,0.1155008369876886
h4_wpr_d3,-0.14087662152719216,-0.1589889120979743,-0.14017391018529549,-0.11433370752471411,0.11433370752471411
h1_bb_width_d3,0.11365221238677158,0.14467170271091226,0.1527999756603351,0.15874464794979515,0.11365221238677158
h1_motion_rise,-0.11296437119295938,-0.11408324790256918,-0.11471663328269058,-0.14182803122522972,0.11296437119295938
m15_sweep_reclaim,0.15200572804807302,0.14594748488109113,0.14559791318461307,0.11285321105779164,0.11285321105779164
h1_bb_pctb_acc,-0.11989039775896711,-0.11245004931873366,-0.11775967071341263,-0.1214496867747663,0.11245004931873366
h4_stoch_spread,-0.1398512680877574,-0.16836512357160502,-0.11173583847344815,-0.1472025544698398,0.11173583847344815
h1_adx_d1,0.11066324787412218,0.12310268227461027,0.12407473680876434,0.1255886155056937,0.11066324787412218
h4_ppo_hist_d1,-0.11017584879717303,-0.11333061075588047,-0.11301435622151342,-0.13009311851512317,0.11017584879717303
btc1_stoch_spread_d1,-0.14792230329484105,-0.12087541220097411,-0.13829168911568182,-0.11002320180311098,0.11002320180311098
m15_tsi,-0.10997033005098017,-0.2195609015645249,-0.14688193095496588,-0.1466368738655231,0.10997033005098017
