candidate,split,n,mean_ret_3h,median_ret_3h,win_3h,mean_ret_6h,median_ret_6h,win_6h,mean_ret_12h,median_ret_12h,win_12h,mean_ret_24h,median_ret_24h,win_24h,mean_mfe_12h,mean_mae_12h,mfe_gt_1_12h,ret_gt_1_12h,mean_ret_12h_ci_low,mean_ret_12h_ci_high
CTX2+trig5s,train_2024_2025,1560,-0.031003835808246418,-0.015166499333163497,48.26923076923077,0.00505853602455361,0.006755300359451155,50.32051282051282,-0.004648094684270001,-0.012413739732602957,49.743589743589745,0.007476062062471055,-0.02431395367239464,49.48717948717949,1.2735696699022128,-1.3381640699969808,44.80769230769231,22.692307692307693,-0.09037641697117875,0.08837870710436799
CTX2+trig5s,holdout_2026,557,-0.04854364184620755,-0.0741068557594371,42.010771992818675,-0.033512158136933604,-0.03980509470294935,47.57630161579892,-0.04055431070701288,-0.049590903897134275,49.012567324955114,0.04182445048181553,0.04681699824304886,51.16696588868941,1.1100808354065919,-1.1812358275929098,40.394973070017954,18.67145421903052,-0.16045622416433045,0.08144803365327377
CTX2+trig5s+H1recent2h,train_2024_2025,877,-0.0036738272890875674,-0.03349031480451847,47.662485746864306,0.025687853337836183,0.03621108136677709,51.31128848346636,0.03561102129407079,0.011616470075703766,50.39908779931584,0.022715139841087407,0.03957686957023476,51.31128848346636,1.2842044031705435,-1.2678488037001243,47.32041049030787,23.033067274800455,-0.07228409848034152,0.14458017747144666
CTX2+trig5s+H1recent2h,holdout_2026,291,-0.021897709010960973,-0.05501824091648233,43.986254295532646,-0.0632579830374122,-0.09622529112948142,44.329896907216494,-0.039242669632312495,-0.06535833258122237,48.10996563573883,-0.06936518216798122,-0.06459992802831382,48.10996563573883,1.0457953738821946,-1.1162259536359846,39.175257731958766,16.151202749140893,-0.19035460615535327,0.12042081735971141
CTX2+trig5s+H1recent4h,train_2024_2025,1300,-0.040031215297512926,-0.017674349976642967,47.76923076923077,0.008049924740392227,-0.00911583407939287,49.53846153846154,-0.003821738974043569,-0.008334679563182235,49.84615384615385,0.04328342279853833,0.008749266505281295,50.07692307692307,1.2786001112996113,-1.3328531731668853,45.76923076923077,22.153846153846153,-0.09921039368762202,0.09460433213672274
CTX2+trig5s+H1recent4h,holdout_2026,443,-0.02845903780373713,-0.06352887440154165,42.43792325056434,-0.03553217020260789,-0.06577666375672253,46.04966139954853,-0.02534823087920117,-0.049590903897134275,48.75846501128668,0.013393407751462734,0.04224935695973375,51.0158013544018,1.1100072171735247,-1.1512385146146253,40.85778781038375,17.381489841986454,-0.16617243220629072,0.12457830081826858
H4turn16h+H1turn4h+trig5s,train_2024_2025,1645,0.007316787113566018,-0.010475328963521768,48.44984802431611,0.014485929301390957,-0.00801940033486881,49.848024316109424,0.06676575889794203,0.0024016507345958615,50.03039513677812,0.09943494484940557,0.057561009768569704,51.85410334346504,1.263900893781051,-1.255748375079114,44.559270516717326,21.88449848024316,-0.010838186304784017,0.14195544885324018
H4turn16h+H1turn4h+trig5s,holdout_2026,572,-0.02126328963579266,-0.05027386088415908,44.40559440559441,0.027967457344460028,-0.028635224839146378,47.72727272727273,0.037572629588696414,-0.020663086317435075,49.47552447552447,0.12159999946429999,0.09932066598871137,52.7972027972028,1.1089716297644752,-1.0936854493873616,40.73426573426573,19.230769230769234,-0.07637955614243871,0.14926749215613155
CTX3+trig4,train_2024_2025,1433,-0.02617165758377179,-0.03025351292228473,47.31332868108862,0.0017863318539162666,-0.01238129004595967,49.12770411723656,0.007129342167378335,-0.014098198664413975,49.476622470341944,0.01395082897159322,0.0021931255531848493,50.03489183531053,1.2930660310860496,-1.3303506023077059,46.12700628053036,22.26099092812282,-0.08860707748124742,0.09531296533453089
CTX3+trig4,holdout_2026,510,-0.044283109501728375,-0.07627938018288649,40.78431372549019,-0.03499194308925036,-0.042768822100952564,47.45098039215686,-0.01640152697443817,-0.03823916204329647,49.2156862745098,0.017653465504147377,0.02381435897418349,50.78431372549019,1.1175967700891316,-1.1809447032298488,39.80392156862745,19.019607843137255,-0.147157576553331,0.11121391868526626
CTX3+trig4+H1recent2h,train_2024_2025,886,-0.028195853882537706,-0.0333684411758961,48.1941309255079,-0.005048341986793874,-0.0031712665738037327,49.887133182844245,0.010545919346381574,0.017856384131786918,50.90293453724605,-0.042694120054744364,0.02665444278711071,50.79006772009029,1.2866715393335222,-1.306908626758207,47.40406320541761,23.024830699774267,-0.10238662830368665,0.1264453275596022
CTX3+trig4+H1recent2h,holdout_2026,305,-0.023445541845868622,-0.06803483195234605,43.9344262295082,-0.05911458697427809,-0.10013519503019319,43.606557377049185,-0.02466938943158393,-0.1416882256217833,45.57377049180328,-0.08822981647838682,-0.04604649658950244,48.52459016393443,1.0861924326915633,-1.1235087239124555,37.704918032786885,16.39344262295082,-0.17995730511099522,0.1414267251819554
CTX3+trig4+H1recent4h,train_2024_2025,1236,-0.03844593201449365,-0.03641427057828883,47.006472491909385,0.0004397113168924563,-0.0154440566781322,48.62459546925567,0.0029999780342312423,-0.01372475911384785,49.59546925566343,0.034298529412594016,0.025356986263169734,50.728155339805824,1.2944080183561313,-1.3332786283687,47.0873786407767,22.0873786407767,-0.10009679137135813,0.10180777039728708
CTX3+trig4+H1recent4h,holdout_2026,430,-0.02369112031409329,-0.07254966388335893,42.093023255813954,-0.028686559314253887,-0.04497449803896325,48.13953488372093,-0.001919291493575555,-0.10154845867742512,48.372093023255815,-0.02903396197717272,0.010012332573805516,50.0,1.1260327001159627,-1.149777700263559,40.46511627906977,17.674418604651162,-0.1399527661316412,0.14703527712778064
