name,a,b,family_a,family_b,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc1_di_spread_d1 LE Q30(-2.59029) & h4_chop14 LE Q20(41.1434),btc1_di_spread_d1 LE Q30(-2.59029),h4_chop14 LE Q20(41.1434),di_spread,chop,171,149,0.27885001927050096,1.1297329203632043,3.6294746186808746,2.4841822244538827,-7.606791937542674,6.4954342718050455,-8.129248671594382,5.394805340987432,2.3722435121662158
btc1_di_spread_d1 LE Q30(-2.59029) & btc1_tsi_d1 LE Q30(-0.211069),btc1_di_spread_d1 LE Q30(-2.59029),btc1_tsi_d1 LE Q30(-0.211069),di_spread,tsi,423,332,0.7467698841820122,0.802692913860952,2.068494813178043,1.5709022286097654,1.0158284431964049,3.4389128842413683,0.505814162796554,2.639488772700858,2.358263249343601
btc1_roc4_d3 LE Q30(-0.481176) & h1_atr_pct_acc GE Q80(0.0723118),btc1_roc4_d3 LE Q30(-0.481176),h1_atr_pct_acc GE Q80(0.0723118),roc,atr,205,151,0.3981958345468801,1.5759517788591944,3.64039840013014,1.903309992459856,1.5958895629565433,14.553570188956911,-0.09615781437001658,13.452941258139305,2.347459357608032
btc1_ppo_hist_d1 LE Q20(-0.0309186) & btc1_vwap_dist_acc LE Q20(-0.820672),btc1_ppo_hist_d1 LE Q20(-0.0309186),btc1_vwap_dist_acc LE Q20(-0.820672),ppo,vwap,205,128,-0.09806137555626072,2.1969175736114646,3.1312073970925445,2.7807225439759775,-6.208988485823944,10.197196016771485,-7.901035863150511,9.877817085953879,2.338370796581988
btc1_bb_width_acc LE Q20(-0.00165171) & btc1_ppo_hist_d1 LE Q20(-0.0309186),btc1_bb_width_acc LE Q20(-0.00165171),btc1_ppo_hist_d1 LE Q20(-0.0309186),bb_,ppo,144,84,0.5763700690564068,1.8575092924638859,1.8733855548916019,1.693761859174134,2.0057811618725268,20.83707696915244,0.313733784545974,20.926924228811025,2.336580038777636
btc1_atr_pct GE Q70(0.804549) & btc4_roc4 LE Q20(-0.378217),btc1_atr_pct GE Q70(0.804549),btc4_roc4 LE Q20(-0.378217),atr,roc,205,207,0.26415800827743213,0.2929601465801603,3.9452310626114784,2.2818143811959724,-3.7699640955800433,4.981314374259412,-5.462011472906603,4.363777230881418,2.323633237147871
btc1_atr_pct GE Q80(0.907279) & btc4_roc4 GE Q80(1.9053),btc1_atr_pct GE Q80(0.907279),btc4_roc4 GE Q80(1.9053),atr,roc,165,96,0.8442491919150426,2.3688312932323194,3.7938667508038026,1.2246213314029288,5.705276111367482,8.634696016771485,4.013228734040915,7.534067085953879,2.3202933813398143
btc1_di_spread_d1 LE Q30(-2.59029) & m15_ppo_hist_acc GE Q80(0.0753278),btc1_di_spread_d1 LE Q30(-2.59029),m15_ppo_hist_acc GE Q80(0.0753278),di_spread,ppo,230,194,0.32908514027900176,1.6787453045761263,3.478566322150371,2.3373956244408634,-6.442286470977713,12.307376429142614,-7.69955123960861,11.206747498325008,2.3192211457983616
btc1_tsi_d1 LE Q30(-0.211069) & m15_atr_pct_d3 GE Q80(0.0315324),btc1_tsi_d1 LE Q30(-0.211069),m15_atr_pct_d3 GE Q80(0.0315324),tsi,atr,186,140,0.39444147027096493,1.9054685360927364,3.2514962230181323,1.9409643465804265,-0.03274930407729215,12.741838873914347,-1.1871622728017002,12.355495657382455,2.310680092273039
btc1_ppo_hist_acc LE Q20(-0.0499027) & btc1_roc4_acc LE Q20(-1.11272),btc1_ppo_hist_acc LE Q20(-0.0499027),btc1_roc4_acc LE Q20(-1.11272),ppo,roc,287,221,0.6939993154733137,1.203010750784625,3.0056426949535178,1.5856842468080607,1.1080846849077588,1.536279727178723,-0.23553063666967233,1.793116859709535,2.308215490095214
btc1_atr_pct GE Q80(0.907279) & m15_roc12_acc GE Q80(1.37304),btc1_atr_pct GE Q80(0.907279),m15_roc12_acc GE Q80(1.37304),atr,roc,164,151,0.6763574180119458,1.796409721743459,5.6750218788566364,1.7438352063648692,-1.9406958028971175,10.580060255182083,-3.022987082662702,9.479431324364477,2.3015120086366476
btc1_roc4_d1 LE Q20(-0.766142) & btc4_rvol20 GE Q80(1.45631),btc1_roc4_d1 LE Q20(-0.766142),btc4_rvol20 GE Q80(1.45631),roc,rvol,163,160,0.7580907332949586,1.5795509720937422,2.7673715056639807,1.2849004550367535,5.043443056896386,21.759696016771485,5.191886477115844,21.28406708595388,2.2981322095809205
m15_ppo_hist_acc GE Q80(0.0753278) & m15_roc12_acc GE Q80(1.37304),m15_ppo_hist_acc GE Q80(0.0753278),m15_roc12_acc GE Q80(1.37304),ppo,roc,282,271,0.3393443565687092,0.9694440301638739,2.607980501548756,1.9453367143836329,0.7794218238110631,7.3201203710150295,-0.5580156244374805,6.219491440197423,2.2969034131779242
