name,a,b,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
m15_kdj_spread GE Q70(1.90944) OR m15_er10_d1 GE Q70(0.055889),m15_kdj_spread GE Q70(1.90944),m15_er10_d1 GE Q70(0.055889),True,0.7711701227329932,48.94247038917089,49.84276729559748,50.955414012738856,53.815789473684205,52.41090146750524,54.47761194029851,50.64377682403433,48.77622377622377,0.18480983278895285,0.3520415229566965,0.5461014174726811,0.6691584206651666
m15_ppo_hist_d3 GE Q60(-0.00980363) OR h4_donch_pos_d3 LE Q30(0.0363804),m15_ppo_hist_d3 GE Q60(-0.00980363),h4_donch_pos_d3 LE Q30(0.0363804),True,0.7706604127084774,56.93739424703892,55.660377358490564,60.0,60.921052631578945,44.339622641509436,50.0,45.06437768240343,42.65734265734265,0.06950888044011878,0.4086485446227673,0.8776088226853543,0.6398994172091369
m15_ppo_hist_d3 GE Q50(-0.0211379) OR m15_ema20_50_spread_d1 GE Q90(0.0565935),m15_ppo_hist_d3 GE Q50(-0.0211379),m15_ema20_50_spread_d1 GE Q90(0.0565935),True,0.7694010778746913,53.42639593908629,53.56394129979035,57.19745222929936,55.65789473684211,48.742138364779876,46.26865671641791,49.07010014306152,48.25174825174825,0.10842415056548523,0.31598408131672834,0.7628503690879479,0.6190978585681708
m15_chop14 GE Q60(55.1317) OR m15_er10_d1 GE Q80(0.107262),m15_chop14 GE Q60(55.1317),m15_er10_d1 GE Q80(0.107262),True,0.769026716557523,50.719120135363795,51.93920335429769,53.63057324840764,54.34210526315789,49.79035639412998,48.95522388059702,51.931330472103,48.95104895104895,0.26603449554790276,0.3026099447900415,0.6038503715931901,0.4549341828324162
m15_ppo_hist_d3 GE Q60(-0.00980363) OR btc1_donch_pos_d3 GE Q90(0.212789),m15_ppo_hist_d3 GE Q60(-0.00980363),btc1_donch_pos_d3 GE Q90(0.212789),True,0.7688340705802255,45.89678510998308,47.0125786163522,47.77070063694268,50.13157894736842,54.29769392033543,54.92537313432836,57.5107296137339,51.57342657342657,0.08746985795599332,0.27985448707415267,0.6438859020850402,0.7674205765666757
m15_ppo_hist_d3 GE Q60(-0.00980363) OR pre_dd_from_high_2h GE Q60(-0.585504),m15_ppo_hist_d3 GE Q60(-0.00980363),pre_dd_from_high_2h GE Q60(-0.585504),True,0.7686979138406631,58.67174280879864,55.71278825995807,62.42038216560509,59.60526315789474,44.65408805031446,47.76119402985074,44.06294706723891,46.50349650349651,0.04530790203719813,0.33814734263350904,0.648417224667336,0.6758230897233908
h4_chop14 GE Q50(50.0109) OR btc1_donch_pos_d3 GE Q90(0.212789),h4_chop14 GE Q50(50.0109),btc1_donch_pos_d3 GE Q90(0.212789),True,0.7682877918482214,54.9492385786802,54.088050314465406,55.6687898089172,56.71052631578948,43.291404612159326,45.97014925373134,48.927038626609445,49.82517482517482,0.1324255361059116,0.18543424453972213,0.62147123113757,0.9799097406307753
btc1_stoch_spread_d1 GE Q70(-1.83159) OR pre_dd_from_high_4h GE Q70(-0.582829),btc1_stoch_spread_d1 GE Q70(-1.83159),pre_dd_from_high_4h GE Q70(-0.582829),True,0.768185891445725,50.25380710659898,46.855345911949684,53.63057324840764,51.05263157894737,51.677148846960165,55.970149253731336,52.78969957081545,56.993006993006986,0.25494198097237514,0.13244066799337728,0.5682099006161744,0.728277178248175
m15_roc4 GE Q50(0.234584) OR h4_macd_hist GE Q80(0.00320368),m15_roc4 GE Q50(0.234584),h4_macd_hist GE Q80(0.00320368),True,0.7658753615127903,60.19458544839256,58.54297693920335,63.18471337579618,60.0,39.62264150943396,38.95522388059702,40.486409155937054,41.08391608391608,0.14053771313177954,0.09192830137515684,0.7964969127056082,0.6448065989217004
m15_close_ret4 GE Q50(0.234584) OR h4_macd_hist GE Q80(0.00320368),m15_close_ret4 GE Q50(0.234584),h4_macd_hist GE Q80(0.00320368),True,0.7658753615127903,60.19458544839256,58.54297693920335,63.18471337579618,60.0,39.62264150943396,38.95522388059702,40.486409155937054,41.08391608391608,0.14053771313177954,0.09192830137515684,0.7964969127056082,0.6448065989217004
